id,name,addr1,addr2,lat,lon,bikes_avail,spots_avail,spots_total,status,status_key,test_stn
281,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,,40.7643971,-73.97371465,47,12,59,In Service,1,False
282,Kent Ave & S 11 St,Kent Ave & S 11 St,,40.70827295,-73.96834101,0,27,27,In Service,1,False
284,Greenwich Ave & 8 Ave,Greenwich Ave & 8 Ave,,40.7390169121,-74.0026376103,19,24,43,In Service,1,False
285,Broadway & E 14 St,Broadway & E 14 St,,40.73454567,-73.99074142,39,8,47,In Service,1,False
289,Monroe St & Classon Ave,Monroe St & Classon Ave,,40.6845683,-73.95881081,1,18,19,In Service,1,False
290,2 Ave & E 58 St,2 Ave & E 58 St,,40.76020258,-73.96478473,0,29,29,In Service,1,False
291,Madison St & Montgomery St,Madison St & Montgomery St,,40.713126,-73.984844,0,20,20,In Service,1,False
293,Lafayette St & E 8 St,Lafayette St & E 8 St,,40.73028666,-73.9907647,30,25,55,In Service,1,False
294,Washington Square E,Washington Square E,,40.73049393,-73.9957214,26,5,31,In Service,1,False
295,Pike St & E Broadway,Pike St & E Broadway,,40.71406667,-73.99293911,16,8,24,In Service,1,False
296,Division St & Bowery,Division St & Bowery,,40.71413089,-73.9970468,14,21,35,In Service,1,False
297,E 15 St & 3 Ave,E 15 St & 3 Ave,,40.734232,-73.986923,4,23,27,In Service,1,False
298,3 Ave & Flatbush Ave,3 Ave & Flatbush Ave,,40.68683208,-73.9796772,0,35,35,In Service,1,False
300,Shevchenko Pl & E 6 St,Shevchenko Pl & E 6 St,,40.728145,-73.990214,30,25,55,In Service,1,False
301,E 2 St & Avenue B,E 2 St & Avenue B,,40.72217444,-73.98368779,0,37,37,In Service,1,False
302,Avenue D & E 3 St,Avenue D & E 3 St,,40.72082834,-73.97793172,0,23,23,In Service,1,False
303,Mercer St & Spring St,Mercer St & Spring St,,40.72362738,-73.99949601,29,2,31,In Service,1,False
304,Broadway & Battery Pl,Broadway & Battery Pl,,40.70463334,-74.01361706,32,4,36,In Service,1,False
305,E 58 St & 3 Ave,E 58 St & 3 Ave,,40.76095756,-73.96724467,26,7,33,In Service,1,False
306,Cliff St & Fulton St,Cliff St & Fulton St,,40.70823502,-74.00530063,15,22,37,In Service,1,False
307,Canal St & Rutgers St,Canal St & Rutgers St,,40.71427487,-73.98990025,0,31,31,In Service,1,False
308,St James Pl & Oliver St,St James Pl & Oliver St,,40.71307916,-73.99851193,2,25,27,In Service,1,False
309,Murray St & West St,Murray St & West St,,40.7149787,-74.013012,40,1,41,In Service,1,False
310,State St & Smith St,State St & Smith St,,40.68926942,-73.98912867,1,34,35,In Service,1,False
311,Norfolk St & Broome St,Norfolk St & Broome St,,40.7172274,-73.98802084,2,28,30,In Service,1,False
312,Allen St & E Houston St,Allen St & E Houston St,,40.722055,-73.989111,3,28,31,In Service,1,False
313,Washington Ave & Park Ave,Washington Ave & Park Ave,,40.69610226,-73.96751037,6,17,23,In Service,1,False
314,Montague St & Clinton St,Montague St & Clinton St,,40.69424674,-73.99215922,0,39,39,In Service,1,False
315,South St & Gouverneur Ln,South St & Gouverneur Ln,,40.70355377,-74.00670227,20,9,29,In Service,1,False
316,Fulton St & William St,Fulton St & William St,,40.70955958,-74.00653609,6,37,43,In Service,1,False
317,E 6 St & Avenue B,E 6 St & Avenue B,,40.72453734,-73.98185424,2,25,27,In Service,1,False
318,E 43 St & Vanderbilt Ave,E 43 St & Vanderbilt Ave,,40.75320159,-73.9779874,3,28,31,In Service,1,False
319,Park Pl & Church St,Park Pl & Church St,,40.71336124,-74.00937622,2,33,35,In Service,1,False
320,Church St & Leonard St,Church St & Leonard St,,40.71743998,-74.00583475,10,29,39,In Service,1,False
321,Cadman Plaza E & Red Cross Pl,Cadman Plaza E & Red Cross Pl,,40.69991755,-73.98971773,0,27,27,In Service,1,False
322,Clinton St & Tillary St,Clinton St & Tillary St,,40.696192,-73.991218,0,31,31,In Service,1,False
323,Lawrence St & Willoughby St,Lawrence St & Willoughby St,,40.69236178,-73.98631746,8,31,39,In Service,1,False
324,DeKalb Ave & Hudson Ave,DeKalb Ave & Hudson Ave,,40.689888,-73.981013,46,5,51,In Service,1,False
325,E 19 St & 3 Ave,E 19 St & 3 Ave,,40.73624527,-73.98473765,8,27,35,In Service,1,False
326,E 11 St & 1 Ave,E 11 St & 1 Ave,,40.72953837,-73.98426726,0,27,27,In Service,1,False
327,Vesey Pl & River Terrace,Vesey Pl & River Terrace,,40.7153379,-74.01658354,35,4,39,In Service,1,False
328,Watts St & Greenwich St,Watts St & Greenwich St,,40.72405549,-74.00965965,18,5,23,In Service,1,False
